Gender,Age,Education,MaritalStatus,FamilyCount,ChildCount,IncomeType,IncomeClass,Occupation,OrgType,HouseOwnYN,DwellingType,HousingType,ResidenceClass,CarOwnedYN,Default,ActiveLoanYN,LoanType,ApplWeek,ApplHour,Accompany,CarPrice,Deposit,LoanTerm,LoanRemainTerm,InterestType,InterestRate,LoanAmount,InstallAmount,LoanRemainAmount,HomeAddMatchedYN,WorkAddMatchedYN,InquiryCount,IdChangedYears,InfoChangedYears,PhoneChangedYears,ScoreA,ScoreB,ScoreC,loan_months,loan_start_date
남성,52.6,대학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),수,9,단독,18000000,10,24,7,고정,5.4,16200000,711450.0,4980150.0,Y,Y,0,7.5,21.2,0.1,0.722,0.422,0.682,17,2023-11-01
남성,52.7,고등학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,운송,Y,자가,오피스텔,양호,N,0,N,할부금융(장/단기),금,13,단독,43000000,10,24,6,변동,5.1,38700000,1694737.5,10168425.0,Y,Y,4,7.6,16.1,4.4,0.686,0.526,0.706,18,2023-10-01
남성,53.4,전문대,독신,1,0,퇴직,3000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),목,16,단독,43000000,30,36,22,변동,7.09,30100000,895391.4,19698610.8,Y,Y,0,1.8,23.1,0.8,0.73,0.17,0.51,14,2024-02-01
여성,53.4,고등학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),월,10,단독,25000000,30,36,16,변동,5.19,17500000,511340.3,8181444.8,Y,Y,0,8.1,7.7,3.0,0.751,0.491,0.671,20,2023-08-01
남성,53.4,고등학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,운송,Y,자가,오피스텔,양호,N,0,Y,할부금융(장/단기),목,11,단독,25000000,20,48,37,고정,6.53,20000000,443875.0,16423375.0,Y,Y,0,6.6,32.8,1.3,0.765,0.885,0.905,11,2024-05-01
남성,53.5,전문대,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,평균,Y,0,Y,할부금융(장/단기),수,16,단독,15000000,20,12,4,변동,5.1,12000000,1051000.0,4204000.0,Y,Y,0,8.4,26.8,1.2,,0.879,0.559,8,2024-08-01
여성,53.6,대학교,이혼,2,1,퇴직,5000만원~1억원 미만,기타,공공,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),월,10,단독,25000000,30,36,7,변동,4.39,17500000,507451.4,3552159.8,Y,Y,2,0.0,8.8,0.0,0.852,0.772,0.572,29,2022-11-01
남성,53.7,전문대,독신,1,0,퇴직,5000만원~1억원 미만,기타,공공,N,전세,아파트,평균,Y,0,N,할부금융(장/단기),월,9,단독,18000000,10,24,8,변동,4.3,16200000,704025.0,5632200.0,Y,Y,0,6.3,13.3,5.6,,0.068,0.172,16,2023-12-01
남성,53.9,전문대,결혼,5,3,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,N,0,Y,할부금융(장/단기),금,16,단독,30000000,20,36,15,변동,4.39,24000000,695933.3,10438999.5,Y,Y,2,8.6,6.0,7.3,0.992,0.832,0.792,21,2023-07-01
남성,53.9,대학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,기타,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),화,11,단독,25000000,20,36,10,변동,4.39,20000000,579944.4,5799444.0,Y,Y,0,8.8,29.7,3.7,,0.201,0.501,26,2023-02-01
남성,54.0,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,서비스,N,월세,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),화,12,단독,15000000,30,48,7,변동,4.43,10500000,228440.6,1599084.2,Y,Y,0,8.6,37.5,0.0,,0.545,0.725,41,2021-11-01
남성,54.1,고등학교,독신,3,2,퇴직,3000만원~5000만원 미만,기타,공공,Y,공공장기,아파트,최상,N,0,N,할부금융(장/단기),화,12,단독,30000000,30,36,28,고정,5.49,21000000,615358.3,17230032.4,Y,Y,5,9.0,0.2,5.4,,0.704,0.664,8,2024-08-01
남성,54.2,대학교,결혼,3,1,퇴직,3000만원 미만,기타,서비스,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),월,10,단독,30000000,10,24,19,변동,6.7,27000000,1200375.0,22807125.0,Y,Y,1,9.2,22.3,6.9,0.893,0.753,0.653,5,2024-11-01
남성,54.3,대학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,N,전세,단독주택,평균,Y,0,Y,할부금융(장/단기),월,15,단독,55000000,20,36,9,변동,4.39,44000000,1275877.8,11482900.2,N,Y,3,8.8,17.5,0.6,,0.728,0.428,27,2023-01-01
남성,54.4,고등학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,전세,단독주택,양호,Y,0,N,할부금융(장/단기),금,10,단독,25000000,20,48,24,고정,5.53,20000000,439708.3,10552999.2,Y,Y,4,9.2,18.0,0.7,,0.819,0.479,24,2023-04-01
남성,54.6,대학교,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,공공,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),목,10,단독,20000000,20,36,27,고정,5.49,16000000,468844.4,12658798.8,Y,Y,1,7.2,14.0,8.2,0.545,0.345,0.625,9,2024-07-01
남성,54.9,고등학교,결혼,5,3,퇴직,5000만원~1억원 미만,기타,공공,N,반전세,아파트,양호,N,1,Y,할부금융(장/단기),목,12,단독,25000000,20,36,13,고정,4.69,20000000,581611.1,7560944.3,Y,Y,0,9.3,28.3,0.0,,0.439,0.139,23,2023-05-01
남성,55.0,대학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,공공,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),목,9,단독,15000000,0,12,7,혼합,6.25,15000000,1328125.0,9296875.0,Y,Y,4,8.3,28.7,6.3,0.456,0.776,0.656,5,2024-11-01
남성,55.0,전문대,결혼,4,2,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,N,0,Y,할부금융(장/단기),월,12,단독,30000000,10,24,6,고정,4.6,27000000,1176750.0,7060500.0,Y,Y,6,6.7,28.2,0.0,,0.783,0.583,18,2023-10-01
여성,55.1,고등학교,독신,1,0,퇴직,5000만원~1억원 미만,기타,공공,Y,자가,아파트,평균,Y,0,Y,할부금융(장/단기),월,16,단독,25000000,20,36,4,변동,4.39,20000000,579944.4,2319777.6,Y,Y,3,1.5,10.7,2.3,,0.54,0.68,32,2022-08-01
남성,55.1,전문대,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,양호,N,0,N,할부금융(장/단기),금,12,단독,30000000,20,36,7,변동,5.19,24000000,701266.7,4908866.9,Y,Y,0,9.6,15.5,4.8,0.798,0.838,0.658,29,2022-11-01
남성,55.1,대학원,이혼,1,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,반전세,연립/다세대/빌라,양호,Y,0,N,할부금융(장/단기),목,9,단독,15000000,10,24,5,고정,5.4,13500000,592875.0,2964375.0,Y,Y,6,10.0,2.0,1.0,,0.682,0.862,19,2023-09-01
남성,55.2,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),화,9,배우,15000000,30,48,2,변동,4.43,10500000,228440.6,456881.2,Y,Y,5,8.6,25.3,2.2,,0.702,0.602,46,2021-06-01
남성,55.2,고등학교,독신,1,0,퇴직,5000만원~1억원 미만,기타,서비스,N,전세,연립/다세대/빌라,최상,Y,0,Y,할부금융(장/단기),월,15,단독,20000000,30,36,28,변동,4.39,14000000,405961.1,11366910.8,Y,Y,0,9.5,33.0,4.9,0.86,0.991,,8,2024-08-01
남성,55.2,대학교,이혼,1,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),화,17,단독,20000000,20,36,28,고정,4.69,16000000,465288.9,13028089.2,Y,Y,1,10.1,0.1,0.0,0.815,0.995,0.675,8,2024-08-01
남성,55.4,고등학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,무역,N,전세,아파트,최상,N,0,N,할부금융(장/단기),목,12,단독,30000000,20,36,30,변동,5.19,24000000,701266.7,21038001.0,Y,Y,0,10.2,17.2,4.6,0.592,0.732,,6,2024-10-01
남성,55.4,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,산업,N,월세,아파트,최상,Y,0,Y,할부금융(장/단기),수,18,단독,25000000,30,36,7,변동,4.39,17500000,507451.4,3552159.8,Y,Y,1,9.3,7.8,3.8,,0.742,0.502,29,2022-11-01
남성,55.4,대학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,운송,Y,자가,오피스텔,양호,Y,0,Y,할부금융(장/단기),수,11,단독,25000000,10,24,8,변동,6.1,22500000,994687.5,7957500.0,Y,Y,4,10.2,25.5,1.0,0.783,,0.683,16,2023-12-01
남성,55.4,대학원,결혼,2,0,퇴직,1억원 이상,기타,서비스,N,반전세,아파트,평균,Y,0,Y,할부금융(장/단기),금,16,단독,52000000,30,48,19,고정,3.63,36400000,785860.8,14931355.2,Y,Y,0,8.4,12.3,5.9,,0.427,0.227,29,2022-11-01
남성,55.4,대학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,무역,Y,공공장기,아파트,양호,Y,0,Y,할부금융(장/단기),금,13,단독,20000000,0,12,7,혼합,5.25,20000000,1754166.7,12279166.9,Y,Y,1,9.2,32.4,0.0,,0.994,0.694,5,2024-11-01
남성,55.6,중학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,반전세,연립/다세대/빌라,양호,Y,0,N,할부금융(장/단기),월,9,단독,25000000,10,24,7,변동,6.1,22500000,994687.5,6962812.5,Y,Y,1,9.2,19.5,1.9,,0.646,0.886,17,2023-11-01
남성,55.7,대학원,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,외국계,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),수,13,단독,20000000,10,24,6,변동,6.1,18000000,795750.0,4774500.0,N,Y,3,10.5,28.6,1.9,0.685,0.725,0.525,18,2023-10-01
남성,55.7,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,최상,Y,0,Y,할부금융(장/단기),목,13,단독,15000000,20,12,4,고정,4.6,12000000,1046000.0,4184000.0,Y,Y,1,2.4,0.2,0.0,,0.611,0.311,8,2024-08-01
여성,55.7,고등학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,양호,Y,0,Y,할부금융(장/단기),월,12,단독,25000000,20,48,6,변동,4.43,20000000,435125.0,2610750.0,Y,Y,0,9.3,0.3,4.1,,0.731,0.811,42,2021-10-01
남성,55.8,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,양호,Y,0,Y,오토론,금,10,배우,43000000,30,48,35,변동,4.43,30100000,654863.1,22920208.5,Y,Y,4,0.0,0.0,5.0,,0.378,0.638,13,2024-03-01
남성,55.8,전문대,독신,3,2,퇴직,3000만원 미만,기타,서비스,Y,자가,아파트,평균,N,0,Y,할부금융(장/단기),월,16,단독,43000000,30,36,25,고정,7.09,30100000,895391.4,22384785.0,Y,Y,1,8.7,8.7,0.0,,0.331,0.631,11,2024-05-01
남성,55.8,대학교,결혼,3,1,퇴직,3000만원 미만,기타,무역,N,반전세,아파트,평균,Y,0,Y,오토론,월,13,단독,15000000,30,48,19,변동,6.83,10500000,233690.6,4440121.4,N,Y,2,10.6,10.5,0.6,0.684,0.504,0.524,29,2022-11-01
남성,55.9,고등학교,결혼,2,0,퇴직,1억원 이상,기타,서비스,Y,자가,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),금,12,단독,25000000,20,36,10,변동,3.29,20000000,573833.3,5738333.0,Y,Y,2,10.7,8.1,1.6,,0.411,0.671,26,2023-02-01
여성,56.0,대학교,이혼,4,3,퇴직,1억원 이상,기타,서비스,Y,자가,단독주택,최상,Y,1,Y,할부금융(장/단기),화,10,단독,43000000,30,48,33,변동,3.33,30100000,647965.2,21382851.6,Y,Y,2,2.7,31.4,0.8,0.274,0.394,0.174,15,2024-01-01
남성,56.1,전문대,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,산업,Y,공공장기,아파트,양호,Y,0,Y,할부금융(장/단기),월,13,단독,30000000,20,36,24,변동,5.19,24000000,701266.7,16830400.8,Y,Y,1,10.5,24.4,5.0,,0.426,0.346,12,2024-04-01
남성,56.2,고등학교,결혼,2,0,퇴직,3000만원 미만,기타,공공,Y,자가,아파트,평균,Y,0,Y,할부금융(장/단기),월,11,자녀,55000000,20,36,6,변동,6.79,44000000,1305211.1,7831266.6,Y,Y,2,9.5,27.3,0.7,,0.561,0.501,30,2022-10-01
남성,56.2,대학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,서비스,N,월세,단독주택,양호,Y,0,Y,할부금융(장/단기),금,13,단독,20000000,20,36,27,혼합,5.34,16000000,468177.8,12640800.6,Y,Y,1,10.4,29.5,4.8,,0.396,0.576,9,2024-07-01
남성,56.2,대학교,독신,1,0,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),수,15,단독,43000000,10,24,7,변동,4.3,38700000,1681837.5,11772862.5,Y,Y,0,11.2,5.3,4.2,0.883,0.903,0.923,17,2023-11-01
남성,56.3,전문대,결혼,2,0,퇴직,3000만원 미만,기타,서비스,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),월,14,배우,15000000,10,24,14,변동,6.7,13500000,600187.5,8402625.0,Y,Y,0,11.2,0.0,0.0,,0.79,0.77,10,2024-06-01
남성,56.3,전문대,이혼,4,3,퇴직,1억원 이상,기타,공공,Y,자가,아파트,최상,Y,0,Y,할부금융(장/단기),목,13,단독,30000000,0,12,10,변동,3.2,30000000,2580000.0,25800000.0,Y,Y,2,10.5,25.5,2.1,0.878,0.998,0.658,2,2025-02-01
남성,56.3,중학교,독신,3,2,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,양호,N,0,N,할부금융(장/단기),화,10,단독,30000000,30,48,2,변동,5.23,21000000,460381.3,920762.6,Y,Y,4,8.2,24.7,0.3,,0.586,0.666,46,2021-06-01
여성,56.3,고등학교,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,단독주택,양호,N,0,Y,할부금융(장/단기),화,14,단독,52000000,30,48,12,고정,6.53,36400000,807852.5,9694230.0,Y,Y,1,11.2,32.8,4.0,,0.691,0.891,36,2022-04-01
남성,56.4,중학교,독신,3,2,퇴직,3000만원~5000만원 미만,기타,기타,N,월세,아파트,평균,N,0,Y,할부금융(장/단기),월,17,단독,20000000,20,12,7,변동,5.1,16000000,1401333.3,9809333.1,Y,Y,0,7.5,10.6,0.6,0.514,0.434,,5,2024-11-01
남성,56.4,전문대,결혼,2,0,퇴직,3000만원 미만,기타,기타,Y,자가,아파트,평균,Y,0,Y,할부금융(장/단기),화,10,단독,25000000,20,48,35,혼합,6.98,20000000,445750.0,15601250.0,Y,Y,7,9.4,28.0,1.5,,0.061,0.361,13,2024-03-01
남성,56.4,고등학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,Y,0,Y,오토론,목,16,배우,25000000,10,24,19,변동,4.3,22500000,977812.5,18578437.5,Y,Y,3,5.3,25.1,1.2,,0.615,0.795,5,2024-11-01
남성,56.5,대학교,독신,1,0,퇴직,3000만원 미만,기타,무역,Y,자가,아파트,평균,Y,0,Y,오토론,수,13,단독,15000000,30,48,3,변동,6.83,10500000,233690.6,701071.8,Y,Y,1,1.4,0.9,0.5,,0.032,0.372,45,2021-07-01
남성,56.6,대학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,공공,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),금,13,단독,25000000,20,48,5,변동,6.23,20000000,442625.0,2213125.0,Y,Y,0,11.6,32.0,0.0,,0.991,0.856,43,2021-09-01
남성,56.7,전문대,결혼,3,1,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),수,10,단독,15000000,20,12,10,고정,4.6,12000000,1046000.0,10460000.0,Y,Y,5,8.7,23.2,3.9,,0.389,0.569,2,2025-02-01
남성,56.7,대학원,결혼,5,3,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,연립/다세대/빌라,평균,N,0,Y,할부금융(장/단기),목,13,단독,18000000,10,24,17,변동,5.1,16200000,709425.0,12060225.0,Y,Y,2,9.3,8.6,3.9,,0.032,0.228,7,2024-09-01
남성,56.7,전문대,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,평균,N,0,Y,할부금융(장/단기),목,11,단독,20000000,20,36,33,혼합,4.54,16000000,464622.2,15332532.6,Y,Y,5,11.6,11.5,0.0,,0.491,0.731,3,2025-01-01
남성,56.8,고등학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,평균,Y,0,N,할부금융(장/단기),화,9,단독,25000000,30,36,19,변동,4.39,17500000,507451.4,9641576.6,Y,Y,2,11.2,0.8,1.7,,0.567,0.567,17,2023-11-01
남성,56.8,전문대,결혼,4,2,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,양호,N,0,Y,할부금융(장/단기),목,11,단독,43000000,10,24,12,변동,4.3,38700000,1681837.5,20182050.0,Y,Y,0,10.9,33.3,0.0,,0.586,0.726,12,2024-04-01
남성,56.9,대학교,이혼,4,3,퇴직,1억원 이상,기타,공공,Y,자가,아파트,최상,N,0,Y,할부금융(장/단기),수,11,단독,18000000,10,24,14,변동,3.2,16200000,696600.0,9752400.0,Y,Y,2,11.1,8.1,0.0,,0.744,0.824,10,2024-06-01
남성,56.9,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,운송,Y,자가,오피스텔,양호,Y,0,Y,할부금융(장/단기),수,9,단독,20000000,20,36,21,고정,4.69,16000000,465288.9,9771066.9,Y,Y,0,11.7,22.9,4.2,,0.689,0.389,15,2024-01-01
남성,56.9,고등학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,양호,N,0,N,할부금융(장/단기),화,11,단독,52000000,20,36,18,고정,5.49,41600000,1218995.6,21941920.8,Y,Y,1,10.7,16.4,6.1,,0.585,0.425,18,2023-10-01
여성,56.9,대학원,결혼,2,0,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,양호,Y,1,Y,할부금융(장/단기),수,12,단독,18000000,30,48,37,고정,4.73,12600000,274916.3,10171903.1,Y,Y,4,11.4,15.7,0.1,,0.13,0.09,11,2024-05-01
남성,57.0,전문대,독신,1,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,월세,연립/다세대/빌라,양호,Y,0,Y,할부금융(장/단기),화,9,단독,15000000,0,12,10,변동,6.1,15000000,1326250.0,13262500.0,Y,Y,1,5.3,5.3,4.0,,0.946,0.766,2,2025-02-01
남성,57.0,대학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,양호,N,0,Y,할부금융(장/단기),목,17,단독,25000000,30,36,7,변동,4.39,17500000,507451.4,3552159.8,Y,Y,1,11.5,23.9,5.0,0.655,0.515,0.695,29,2022-11-01
남성,57.0,대학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,아파트,양호,Y,0,N,할부금융(장/단기),월,13,단독,18000000,10,24,19,변동,6.1,16200000,716175.0,13607325.0,Y,Y,0,9.7,30.6,5.4,0.625,0.545,0.685,5,2024-11-01
남성,57.0,대학원,독신,4,3,퇴직,3000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,N,0,Y,할부금융(장/단기),목,13,단독,15000000,20,36,30,고정,7.39,12000000,357966.7,10739001.0,Y,Y,0,11.0,7.8,0.0,,0.615,0.595,6,2024-10-01
남성,57.0,중학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,N,0,Y,할부금융(장/단기),금,17,단독,30000000,20,12,10,변동,4.3,24000000,2086000.0,20860000.0,Y,Y,1,9.1,0.1,4.7,,0.741,0.741,2,2025-02-01
여성,57.1,고등학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,운송,N,전세,오피스텔,최상,N,0,Y,할부금융(장/단기),월,9,단독,30000000,10,24,7,변동,4.3,27000000,1173375.0,8213625.0,Y,Y,4,0.0,3.3,0.9,,0.479,0.559,17,2023-11-01
남성,57.2,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),목,13,단독,15000000,10,24,10,변동,5.1,13500000,591187.5,5911875.0,Y,Y,0,11.1,12.1,8.2,,0.991,0.721,14,2024-02-01
남성,57.2,대학교,이혼,4,3,퇴직,5000만원~1억원 미만,기타,산업,N,월세,연립/다세대/빌라,평균,N,0,Y,할부금융(장/단기),수,14,단독,20000000,20,36,33,변동,4.39,16000000,463955.6,15310534.8,Y,Y,1,10.6,1.0,3.9,0.758,0.618,0.778,3,2025-01-01
남성,57.2,대학원,독신,1,0,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,연립/다세대/빌라,양호,Y,1,Y,할부금융(장/단기),화,11,단독,18000000,10,24,19,변동,4.3,16200000,704025.0,13376475.0,Y,Y,0,11.5,25.7,4.8,,0.428,0.188,5,2024-11-01
남성,57.2,대학교,결혼,3,1,퇴직,1억원 이상,기타,서비스,Y,자가,연립/다세대/빌라,평균,N,0,Y,오토론,화,10,단독,15000000,10,24,10,혼합,2.15,13500000,574593.8,5745938.0,Y,Y,0,12.1,11.1,0.4,0.722,0.682,0.662,14,2024-02-01
남성,57.3,대학원,결혼,2,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,양호,Y,0,Y,할부금융(장/단기),화,10,단독,25000000,30,36,28,변동,4.39,17500000,507451.4,14208639.2,Y,Y,0,12.0,6.9,1.1,0.865,0.685,0.485,8,2024-08-01
남성,57.3,전문대,독신,1,0,퇴직,5000만원~1억원 미만,기타,운송,N,월세,오피스텔,양호,Y,0,Y,할부금융(장/단기),금,16,단독,30000000,30,48,32,변동,4.43,21000000,456881.3,14620201.6,Y,Y,0,12.1,0.0,4.2,0.629,0.769,0.689,16,2023-12-01
남성,57.3,대학교,독신,1,0,퇴직,3000만원 미만,기타,공공,Y,자가,아파트,평균,Y,0,Y,할부금융(장/단기),화,9,단독,30000000,20,36,7,변동,6.79,24000000,711933.3,4983533.1,Y,Y,0,11.7,10.8,2.4,0.572,0.532,,29,2022-11-01
남성,57.3,고등학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,평균,Y,0,Y,할부금융(장/단기),수,9,단독,25000000,10,24,7,변동,4.3,22500000,977812.5,6844687.5,Y,Y,3,0.0,12.6,0.1,,0.792,0.672,17,2023-11-01
남성,57.4,전문대,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,평균,Y,1,Y,할부금융(장/단기),목,9,단독,20000000,30,36,19,변동,5.19,14000000,409072.2,7772371.8,Y,Y,2,2.5,25.0,0.2,0.245,,0.185,17,2023-11-01
남성,57.4,대학원,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),화,16,단독,30000000,0,12,10,고정,5.4,30000000,2635000.0,26350000.0,Y,Y,7,12.1,4.6,0.0,,0.952,0.712,2,2025-02-01
남성,57.4,대학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,기타,Y,자가,아파트,양호,Y,0,Y,할부금융(장/단기),수,14,단독,30000000,10,24,15,변동,5.1,27000000,1182375.0,17735625.0,Y,Y,2,6.3,3.4,0.0,,0.585,0.305,9,2024-07-01
