Gender,Age,Education,MaritalStatus,FamilyCount,ChildCount,IncomeType,IncomeClass,Occupation,OrgType,HouseOwnYN,DwellingType,HousingType,ResidenceClass,CarOwnedYN,ActiveLoanYN,LoanType,ApplWeek,ApplHour,Accompany,CarPrice,Deposit,LoanTerm,LoanRemainTerm,InterestType,LoanAmount,LoanRemainAmount,HomeAddMatchedYN,WorkAddMatchedYN,InquiryCount,IdChangedYears,InfoChangedYears,PhoneChangedYears
남성,58.3,중학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,공공,Y,자가,아파트,양호,N,Y,할부금융(장/단기),월,11,단독,30000000,30,48,48,변동,21000000,21000000,Y,Y,4,11.0,8.5,8.1
남성,58.4,대학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,운송,Y,자가,오피스텔,양호,Y,Y,할부금융(장/단기),월,10,단독,20000000,20,36,36,고정,16000000,16000000,Y,Y,4,12.2,2.4,2.7
남성,58.5,전문대,독신,2,1,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),월,9,단독,52000000,0,12,12,변동,52000000,52000000,N,Y,6,6.4,7.8,0.8
남성,58.5,전문대,독신,2,1,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,연립/다세대/빌라,양호,Y,Y,오토론,월,15,단독,25000000,10,24,24,고정,22500000,22500000,Y,Y,0,10.2,0.1,1.1
남성,58.7,고등학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,월세,아파트,양호,Y,Y,할부금융(장/단기),목,9,단독,43000000,20,48,48,변동,34400000,34400000,Y,Y,3,13.4,19.5,0.0
남성,58.7,대학교,결혼,2,0,퇴직,3000만원 미만,기타,무역,Y,자가,아파트,평균,Y,Y,오토론,수,17,단독,30000000,10,24,24,변동,27000000,27000000,N,Y,0,9.4,6.3,1.0
남성,59.0,고등학교,결혼,4,2,퇴직,3000만원 미만,기타,운송,N,전세,오피스텔,평균,N,Y,할부금융(장/단기),수,13,단독,18000000,10,24,24,고정,16200000,16200000,Y,Y,0,13.2,26.4,5.1
남성,59.2,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,월세,아파트,양호,Y,Y,할부금융(장/단기),화,16,자녀,18000000,30,48,48,변동,12600000,12600000,Y,Y,2,11.6,16.5,0.1
여성,59.3,대학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,평균,Y,Y,오토론,화,10,배우,25000000,20,48,48,변동,20000000,20000000,Y,Y,1,11.5,16.0,0.0
남성,59.3,고등학교,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,아파트,양호,N,Y,할부금융(장/단기),수,13,단독,25000000,30,36,36,변동,17500000,17500000,Y,Y,2,12.3,35.9,2.7
남성,59.3,고등학교,독신,4,3,퇴직,3000만원 미만,기타,무역,Y,자가,아파트,양호,N,N,할부금융(장/단기),월,17,단독,30000000,30,48,48,변동,21000000,21000000,Y,Y,0,12.1,25.4,0.0
남성,59.9,대학원,결혼,3,1,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,12,단독,20000000,30,48,48,변동,14000000,14000000,Y,Y,3,12.5,20.2,0.0
남성,59.9,고등학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,산업,N,전세,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),금,10,단독,43000000,10,24,24,변동,38700000,38700000,Y,Y,3,12.6,29.7,5.7
남성,60.0,고등학교,결혼,2,0,퇴직,1억원 이상,기타,서비스,N,반전세,연립/다세대/빌라,최상,Y,Y,할부금융(장/단기),월,11,단독,30000000,20,36,36,변동,24000000,24000000,Y,Y,3,7.5,4.6,3.4
남성,60.6,전문대,결혼,3,1,퇴직,3000만원 미만,기타,무역,N,반전세,아파트,양호,N,Y,할부금융(장/단기),화,12,친지,20000000,20,48,48,변동,16000000,16000000,Y,Y,0,8.6,36.9,0.0
남성,62.3,고등학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,연립/다세대/빌라,양호,Y,N,할부금융(장/단기),수,9,단독,25000000,10,24,24,변동,22500000,22500000,Y,Y,0,11.6,4.1,4.8
남성,62.8,고등학교,결혼,3,1,퇴직,1억원 이상,기타,외국계,Y,자가,아파트,양호,Y,N,할부금융(장/단기),수,10,단독,20000000,30,48,48,변동,14000000,14000000,Y,Y,4,12.1,11.1,3.6
남성,63.1,전문대,결혼,4,2,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,최상,N,Y,할부금융(장/단기),화,15,단독,30000000,30,36,36,변동,21000000,21000000,Y,Y,1,12.4,19.6,0.0
남성,63.2,고등학교,결혼,3,1,퇴직,3000만원 미만,기타,외국계,N,전세,아파트,평균,N,Y,오토론,화,17,단독,43000000,20,48,48,변동,34400000,34400000,Y,Y,5,13.3,21.9,4.2
남성,63.4,중학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,N,N,할부금융(장/단기),월,17,단독,55000000,0,12,12,고정,55000000,55000000,Y,Y,0,11.4,26.1,8.0
여성,63.4,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,전세,아파트,양호,Y,Y,오토론,월,9,배우,30000000,10,24,24,변동,27000000,27000000,Y,Y,2,11.5,28.4,2.6
여성,63.5,전문대,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),화,9,배우,20000000,20,48,48,변동,16000000,16000000,Y,Y,3,11.8,20.7,7.5
여성,64.1,중학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,9,단독,43000000,30,36,36,변동,30100000,30100000,N,Y,0,11.9,5.7,3.9
남성,64.1,고등학교,독신,2,1,퇴직,3000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),월,10,단독,20000000,30,48,48,변동,14000000,14000000,Y,Y,3,12.4,31.3,4.2
여성,65.6,대학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),화,10,배우,30000000,20,48,48,혼합,24000000,24000000,Y,Y,2,10.8,14.9,4.4
남성,66.7,고등학교,독신,1,0,퇴직,3000만원 미만,기타,외국계,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),월,17,단독,25000000,30,36,36,변동,17500000,17500000,Y,Y,0,11.8,41.4,4.9
여성,61.6,대학교,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),금,11,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,1,13.9,8.9,0.0
남성,50.2,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,반전세,아파트,평균,Y,Y,할부금융(장/단기),화,15,단독,18000000,30,48,48,변동,12600000,12600000,Y,Y,4,5.0,12.4,0.8
남성,52.9,대학교,독신,3,2,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,평균,N,Y,할부금융(장/단기),화,10,단독,52000000,0,12,12,변동,52000000,52000000,Y,Y,0,7.3,1.8,0.0
남성,56.9,고등학교,이혼,1,0,퇴직,5000만원~1억원 미만,기타,운송,Y,자가,오피스텔,평균,Y,N,할부금융(장/단기),월,15,단독,20000000,20,12,12,변동,16000000,16000000,Y,Y,1,7.0,7.9,2.3
여성,57.5,고등학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,산업,Y,가족공동,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),월,9,단독,18000000,10,24,24,고정,16200000,16200000,N,Y,1,12.4,12.4,0.0
남성,57.6,전문대,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,평균,Y,N,할부금융(장/단기),수,12,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,1,11.8,4.4,0.0
남성,57.6,대학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,서비스,N,월세,아파트,평균,Y,Y,할부금융(장/단기),화,13,단독,43000000,30,48,48,변동,30100000,30100000,Y,Y,9,12.1,18.1,4.6
남성,58.4,대학교,독신,3,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,단독주택,평균,N,Y,할부금융(장/단기),수,10,단독,55000000,0,12,12,고정,55000000,55000000,N,Y,1,11.9,23.2,0.9
남성,58.5,대학원,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),목,11,단독,30000000,30,36,36,변동,21000000,21000000,Y,Y,3,13.4,13.4,2.3
남성,60.7,전문대,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),목,14,단독,25000000,20,36,36,변동,20000000,20000000,Y,Y,19,13.0,12.9,2.1
남성,61.5,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,무역,Y,자가,아파트,평균,Y,N,할부금융(장/단기),목,14,단독,25000000,20,36,36,변동,20000000,20000000,Y,Y,4,0.0,13.3,4.5
남성,63.3,고등학교,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,평균,N,N,오토론,화,12,단독,61000000,30,48,48,변동,42700000,42700000,Y,Y,1,12.3,12.3,3.1
여성,48.6,고등학교,결혼,4,2,퇴직,3000만원 미만,기타,서비스,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),화,10,단독,30000000,20,12,12,고정,24000000,24000000,Y,Y,0,2.9,20.9,1.2
남성,53.3,전문대,결혼,3,1,퇴직,3000만원 미만,기타,산업,N,전세,연립/다세대/빌라,평균,N,Y,할부금융(장/단기),화,10,단독,20000000,30,48,48,변동,14000000,14000000,Y,Y,0,5.4,5.8,2.0
남성,54.7,전문대,결혼,2,0,퇴직,3000만원 미만,기타,산업,N,전세,연립/다세대/빌라,평균,Y,N,오토론,금,16,단독,20000000,30,48,48,변동,14000000,14000000,Y,Y,2,6.8,0.6,1.6
여성,57.7,전문대,결혼,2,0,퇴직,3000만원 미만,기타,무역,Y,자가,아파트,평균,Y,N,할부금융(장/단기),목,12,배우,61000000,10,24,24,변동,54900000,54900000,Y,Y,1,1.8,0.0,1.1
여성,65.9,중학교,독신,3,2,퇴직,3000만원 미만,기타,공공,Y,자가,아파트,평균,N,Y,할부금융(장/단기),화,10,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,1,12.4,12.4,0.0
여성,49.3,대학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,산업,N,반전세,아파트,양호,Y,Y,오토론,월,14,단독,43000000,10,24,24,고정,38700000,38700000,Y,Y,3,4.3,14.0,1.4
남성,43.3,대학교,결혼,4,2,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,평균,N,Y,할부금융(장/단기),화,19,단독,30000000,10,24,24,변동,27000000,27000000,N,Y,3,1.5,6.4,1.2
남성,52.6,대학교,결혼,3,1,퇴직,3000만원 미만,기타,서비스,N,반전세,연립/다세대/빌라,평균,N,Y,할부금융(장/단기),금,17,단독,30000000,20,48,48,혼합,24000000,24000000,Y,Y,0,7.4,4.6,3.6
남성,53.6,대학교,결혼,2,0,퇴직,1억원 이상,기타,운송,Y,자가,오피스텔,평균,Y,Y,할부금융(장/단기),화,13,단독,30000000,20,36,36,변동,24000000,24000000,Y,Y,3,8.6,7.2,1.5
남성,54.6,대학원,결혼,2,0,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),목,14,단독,20000000,20,36,36,고정,16000000,16000000,Y,Y,4,9.5,6.5,1.8
남성,56.6,대학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,무역,N,전세,아파트,평균,Y,Y,할부금융(장/단기),화,11,단독,43000000,20,36,36,변동,34400000,34400000,Y,Y,2,9.4,3.0,4.2
남성,58.2,전문대,독신,2,1,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,평균,Y,Y,할부금융(장/단기),월,18,단독,20000000,20,36,36,고정,16000000,16000000,Y,Y,1,12.3,23.4,5.5
남성,58.2,전문대,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,운송,N,반전세,오피스텔,평균,Y,N,할부금융(장/단기),화,15,단독,61000000,10,24,24,고정,54900000,54900000,Y,Y,2,11.6,2.2,3.9
남성,59.5,고등학교,결혼,3,1,퇴직,5000만원~1억원 미만,기타,서비스,N,전세,아파트,평균,Y,Y,할부금융(장/단기),목,11,단독,25000000,20,36,36,변동,20000000,20000000,Y,Y,0,13.2,10.5,2.0
남성,59.7,전문대,독신,2,1,퇴직,3000만원 미만,기타,산업,Y,자가,연립/다세대/빌라,평균,N,N,할부금융(장/단기),수,11,단독,15000000,10,24,24,변동,13500000,13500000,N,Y,2,4.8,4.7,0.7
남성,60.7,중학교,이혼,1,0,퇴직,3000만원~5000만원 미만,기타,산업,Y,자가,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),화,11,단독,18000000,10,24,24,고정,16200000,16200000,Y,Y,3,12.1,12.1,3.0
남성,61.2,고등학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,외국계,Y,자가,아파트,평균,N,Y,할부금융(장/단기),월,18,단독,61000000,10,24,24,고정,54900000,54900000,Y,Y,0,0.7,19.1,0.0
남성,65.1,대학교,독신,1,0,퇴직,5000만원~1억원 미만,기타,서비스,N,월세,단독주택,평균,Y,Y,할부금융(장/단기),화,15,단독,43000000,10,24,24,변동,38700000,38700000,Y,Y,2,9.0,0.2,0.0
남성,57.4,고등학교,독신,2,1,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),목,13,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,1,6.0,17.0,2.0
남성,58.5,대학교,이혼,2,1,퇴직,1억원 이상,기타,운송,Y,자가,오피스텔,평균,Y,Y,할부금융(장/단기),수,9,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,0,12.5,20.8,2.5
남성,59.1,전문대,독신,3,2,퇴직,3000만원~5000만원 미만,기타,서비스,N,반전세,단독주택,평균,N,Y,할부금융(장/단기),목,16,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,0,1.0,1.0,1.0
남성,59.4,고등학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,공공,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),금,11,단독,55000000,20,36,36,변동,44000000,44000000,Y,Y,1,12.4,0.0,1.6
여성,61.5,고등학교,결혼,3,1,퇴직,3000만원~5000만원 미만,기타,기타,N,전세,아파트,평균,N,Y,할부금융(장/단기),금,11,단독,25000000,10,24,24,변동,22500000,22500000,Y,Y,0,7.1,15.0,6.2
여성,46.1,대학교,결혼,3,1,퇴직,1억원 이상,기타,서비스,N,월세,단독주택,최상,Y,Y,할부금융(장/단기),금,14,단독,55000000,20,12,12,변동,44000000,44000000,Y,Y,1,1.0,0.0,0.0
남성,52.0,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,서비스,Y,자가,단독주택,최상,Y,Y,할부금융(장/단기),수,13,배우,30000000,20,36,36,변동,24000000,24000000,Y,Y,1,6.9,4.5,7.5
남성,58.6,전문대,이혼,4,3,퇴직,5000만원~1억원 미만,기타,운송,N,전세,오피스텔,최상,N,Y,할부금융(장/단기),수,10,단독,20000000,20,36,36,고정,16000000,16000000,Y,Y,0,12.9,7.3,1.0
남성,55.5,고등학교,독신,1,0,퇴직,3000만원~5000만원 미만,기타,서비스,Y,자가,아파트,양호,Y,N,할부금융(장/단기),화,15,단독,55000000,20,36,36,변동,44000000,44000000,Y,Y,0,10.0,23.9,3.4
남성,55.6,대학교,독신,2,1,퇴직,1억원 이상,기타,무역,N,반전세,아파트,양호,Y,Y,할부금융(장/단기),월,9,친지,61000000,30,48,48,변동,42700000,42700000,Y,Y,4,10.5,0.9,0.0
남성,55.8,대학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,산업,N,전세,아파트,양호,Y,Y,할부금융(장/단기),월,16,단독,20000000,0,12,12,변동,20000000,20000000,Y,Y,0,10.5,7.5,1.0
남성,57.4,고등학교,결혼,2,0,퇴직,5000만원~1억원 미만,기타,운송,Y,자가,오피스텔,양호,Y,Y,할부금융(장/단기),월,10,단독,43000000,10,24,24,고정,38700000,38700000,Y,Y,3,12.2,12.2,0.0
남성,57.7,전문대,결혼,3,1,퇴직,1억원 이상,기타,외국계,Y,자가,아파트,양호,Y,N,할부금융(장/단기),목,16,단독,15000000,20,36,36,변동,12000000,12000000,Y,Y,7,12.5,0.7,2.5
남성,59.3,고등학교,독신,2,1,퇴직,3000만원~5000만원 미만,기타,무역,Y,자가,아파트,양호,N,Y,할부금융(장/단기),목,16,단독,20000000,30,36,36,변동,14000000,14000000,Y,Y,3,12.0,0.7,4.1
남성,60.0,고등학교,결혼,2,0,퇴직,3000만원 미만,기타,공공,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,16,단독,15000000,20,36,36,변동,12000000,12000000,Y,Y,1,13.6,24.4,1.2
남성,62.8,전문대,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,서비스,N,월세,아파트,양호,Y,Y,할부금융(장/단기),화,14,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,1,12.0,32.2,0.0
남성,56.3,전문대,결혼,4,2,퇴직,3000만원~5000만원 미만,기타,서비스,Y,공공장기,연립/다세대/빌라,양호,N,N,할부금융(장/단기),화,15,단독,20000000,30,36,36,변동,14000000,14000000,Y,Y,1,11.2,11.9,2.2
남성,57.7,전문대,독신,1,0,퇴직,5000만원~1억원 미만,기타,산업,Y,자가,연립/다세대/빌라,양호,Y,N,할부금융(장/단기),월,16,단독,25000000,10,24,24,고정,22500000,22500000,Y,Y,1,12.3,32.9,0.0
남성,64.0,대학교,결혼,2,0,퇴직,3000만원~5000만원 미만,기타,외국계,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,15,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,0,11.5,27.5,0.9
여성,43.4,대학교,결혼,5,3,퇴직,5000만원~1억원 미만,기타,서비스,N,월세,아파트,양호,N,Y,할부금융(장/단기),월,12,단독,25000000,30,36,36,변동,17500000,17500000,Y,Y,1,11.7,15.8,4.6
남성,46.6,전문대,결혼,2,0,퇴직,5000만원~1억원 미만,기타,외국계,Y,자가,아파트,양호,Y,N,오토론,목,11,단독,18000000,30,48,48,변동,12600000,12600000,Y,Y,2,1.5,1.8,3.7
남성,48.0,대학교,독신,4,3,퇴직,3000만원~5000만원 미만,기타,서비스,N,전세,아파트,양호,N,Y,할부금융(장/단기),화,15,단독,55000000,20,12,12,변동,44000000,44000000,Y,Y,3,2.9,30.9,1.2
