Gender,Age,Education,MaritalStatus,FamilyCount,ChildCount,IncomeType,IncomeClass,Occupation,OrgType,EmployedYears,HouseOwnYN,DwellingType,HousingType,ResidenceClass,CarOwnedYN,ActiveLoanYN,LoanType,ApplWeek,ApplHour,Accompany,CarPrice,Deposit,LoanTerm,LoanRemainTerm,InterestType,LoanAmount,LoanRemainAmount,HomeAddMatchedYN,WorkAddMatchedYN,InquiryCount,IdChangedYears,InfoChangedYears,PhoneChangedYears
여성,30.8,대학교,독신,1,0,사업,3000만원~5000만원 미만,보안,기타,0.3,N,반전세,아파트,양호,Y,N,할부금융(장/단기),목,11,단독,15000000,0,12,12,변동,15000000,15000000,Y,N,2,6.8,4.3,0.6
남성,30.9,대학교,결혼,3,1,공무원,5000만원~1억원 미만,일반업무,기타,3.1,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,16,단독,55000000,30,48,48,변동,38500000,38500000,Y,Y,0,5.5,3.9,0.0
남성,31.0,대학교,독신,1,0,서비스,3000만원 미만,일반업무,기타,4.1,N,전세,아파트,평균,Y,Y,할부금융(장/단기),목,15,단독,55000000,0,12,12,고정,55000000,55000000,Y,Y,1,9.9,14.8,6.3
여성,31.3,고등학교,결혼,3,1,서비스,5000만원~1억원 미만,기타,산업,8.1,Y,자가,단독주택,평균,Y,Y,할부금융(장/단기),수,11,단독,30000000,20,12,12,고정,24000000,24000000,Y,Y,0,9.9,30.1,5.8
여성,31.3,고등학교,결혼,4,2,서비스,5000만원~1억원 미만,전문기술,일반,4.9,Y,가족공동,오피스텔,양호,N,N,할부금융(장/단기),금,13,단독,18000000,30,48,48,변동,12600000,12600000,Y,Y,5,10.7,16.3,6.4
남성,31.3,대학교,결혼,4,2,서비스,5000만원~1억원 미만,일반업무,유치원,4.3,Y,자가,아파트,양호,N,Y,할부금융(장/단기),월,11,단독,55000000,20,12,12,변동,44000000,44000000,Y,Y,2,7.4,1.1,0.0
남성,31.4,고등학교,독신,2,1,서비스,5000만원~1억원 미만,기타,기타,4.6,Y,자가,아파트,양호,Y,N,할부금융(장/단기),금,10,단독,20000000,20,36,36,고정,16000000,16000000,N,Y,0,4.9,0.1,1.9
남성,31.5,대학원,이혼,2,1,서비스,3000만원~5000만원 미만,매니저,일반,4.4,N,전세,단독주택,양호,N,Y,할부금융(장/단기),수,18,단독,43000000,10,24,24,고정,38700000,38700000,Y,Y,0,7.1,6.7,0.7
남성,32.2,대학교,결혼,4,2,공무원,5000만원~1억원 미만,일반업무,기타,5.4,N,월세,연립/다세대/빌라,평균,N,Y,할부금융(장/단기),금,17,단독,61000000,10,24,24,변동,54900000,54900000,Y,Y,0,7.7,0.9,6.9
남성,32.2,대학교,결혼,3,1,서비스,3000만원 미만,노동,일반,1.3,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,9,단독,20000000,30,36,36,변동,14000000,14000000,Y,Y,1,2.5,14.4,1.7
남성,32.3,전문대,독신,1,0,공무원,3000만원~5000만원 미만,회계,일반,10.1,N,반전세,아파트,양호,Y,Y,할부금융(장/단기),수,12,단독,43000000,10,24,24,변동,38700000,38700000,Y,Y,0,0.2,13.6,0.5
여성,32.5,전문대,결혼,3,1,서비스,5000만원~1억원 미만,기타,공공,9.4,Y,자가,아파트,평균,Y,Y,할부금융(장/단기),목,14,단독,43000000,10,24,24,고정,38700000,38700000,Y,Y,1,12.2,0.0,4.1
남성,32.5,대학교,결혼,3,1,서비스,5000만원~1억원 미만,제약,교육,4.4,N,월세,아파트,양호,N,Y,할부금융(장/단기),화,17,단독,15000000,20,36,36,변동,12000000,12000000,Y,Y,0,3.8,2.5,0.0
남성,32.6,고등학교,독신,2,1,서비스,5000만원~1억원 미만,웨이터,운송,4.2,Y,자가,연립/다세대/빌라,평균,N,Y,할부금융(장/단기),금,13,단독,15000000,20,36,36,변동,12000000,12000000,N,Y,6,11.7,0.0,1.1
여성,32.8,고등학교,결혼,4,2,서비스,1억원 이상,운전,일반,1.3,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,13,친지,15000000,20,12,12,변동,12000000,12000000,Y,N,4,9.7,8.6,4.2
여성,33.0,고등학교,독신,2,1,공무원,1억원 이상,일반업무,보안,3.5,N,월세,단독주택,최상,N,N,할부금융(장/단기),월,9,단독,25000000,10,24,24,고정,22500000,22500000,Y,Y,0,11.5,0.5,0.0
여성,33.3,고등학교,결혼,3,1,서비스,5000만원~1억원 미만,노동,일반,1.6,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,11,단독,15000000,30,48,48,변동,10500000,10500000,Y,Y,0,5.9,10.9,2.0
여성,33.4,고등학교,결혼,4,2,사업,5000만원~1억원 미만,IT개발/관리,건설,5.2,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,10,배우,20000000,20,36,36,고정,16000000,16000000,N,Y,1,3.0,3.2,0.0
여성,33.4,전문대,독신,1,0,공무원,3000만원~5000만원 미만,운전,기타,6.0,N,월세,아파트,최상,Y,Y,할부금융(장/단기),월,16,기타,43000000,10,24,24,변동,38700000,38700000,Y,Y,2,5.9,11.3,1.4
남성,33.7,대학원,독신,1,0,사업,3000만원 미만,IT개발/관리,일반,8.8,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,14,단독,61000000,10,24,24,고정,54900000,54900000,Y,Y,0,0.0,14.3,5.0
남성,33.8,대학교,독신,1,0,서비스,3000만원 미만,영업,일반,6.1,Y,자가,오피스텔,양호,Y,N,할부금융(장/단기),목,16,단독,52000000,0,12,12,변동,52000000,52000000,Y,N,4,11.9,14.7,3.9
남성,33.8,대학교,독신,3,2,사업,5000만원~1억원 미만,매니저,기타,8.8,Y,자가,아파트,양호,Y,N,할부금융(장/단기),수,12,단독,18000000,30,48,48,변동,12600000,12600000,Y,Y,0,12.0,2.4,6.5
남성,33.9,대학교,독신,1,0,공무원,3000만원~5000만원 미만,일반업무,공공,0.5,Y,자가,연립/다세대/빌라,평균,Y,Y,할부금융(장/단기),목,9,단독,30000000,20,12,12,고정,24000000,24000000,Y,Y,2,3.8,5.2,0.0
남성,34.0,전문대,이혼,1,0,서비스,3000만원~5000만원 미만,요리,서비스,3.2,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,12,단독,25000000,30,36,36,고정,17500000,17500000,Y,Y,2,8.7,1.6,0.4
남성,34.0,전문대,이혼,3,2,서비스,3000만원~5000만원 미만,영업,무역,0.2,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,11,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,1,8.3,16.8,0.8
여성,34.1,대학교,결혼,3,1,서비스,3000만원~5000만원 미만,전문기술,공공,4.0,Y,자가,아파트,양호,Y,N,할부금융(장/단기),목,10,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,0,11.7,2.8,0.0
여성,34.1,고등학교,독신,1,0,공무원,3000만원~5000만원 미만,일반업무,군/경,9.2,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),화,12,단독,52000000,30,48,48,혼합,36400000,36400000,Y,Y,2,12.1,9.0,5.2
남성,34.3,대학교,독신,1,0,서비스,3000만원 미만,일반업무,건설,4.4,Y,자가,아파트,양호,Y,N,오토론,월,18,단독,18000000,10,24,24,변동,16200000,16200000,Y,Y,0,6.7,18.0,1.3
남성,34.3,대학교,독신,1,0,서비스,3000만원~5000만원 미만,영업,자영업,0.4,Y,자가,연립/다세대/빌라,양호,Y,Y,오토론,수,15,단독,25000000,10,24,24,변동,22500000,22500000,Y,Y,4,12.3,17.5,0.0
남성,34.4,대학교,결혼,3,1,사업,1억원 이상,비서직,일반,1.0,Y,자가,오피스텔,양호,Y,Y,할부금융(장/단기),화,9,배우,30000000,20,12,12,고정,24000000,24000000,Y,Y,4,8.2,1.1,4.4
남성,34.5,고등학교,결혼,3,1,공무원,3000만원 미만,제약,제약,13.4,N,월세,아파트,양호,N,Y,할부금융(장/단기),월,9,단독,61000000,30,48,48,변동,42700000,42700000,Y,Y,3,11.6,5.6,2.0
남성,34.6,대학교,독신,1,0,사업,3000만원~5000만원 미만,기타,일반,2.6,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),금,12,단독,15000000,0,12,12,변동,15000000,15000000,Y,Y,1,9.3,7.6,5.5
남성,34.7,전문대,결혼,3,1,서비스,3000만원~5000만원 미만,기타,기타,5.3,N,반전세,아파트,평균,N,Y,할부금융(장/단기),금,16,단독,43000000,30,36,36,변동,30100000,30100000,Y,Y,1,3.5,3.9,4.2
남성,34.7,대학교,결혼,3,1,사업,5000만원~1억원 미만,기타,기타,9.6,Y,자가,연립/다세대/빌라,양호,N,N,할부금융(장/단기),수,9,단독,30000000,20,48,48,혼합,24000000,24000000,N,Y,1,7.7,4.0,0.0
남성,34.7,대학교,결혼,2,0,공무원,3000만원~5000만원 미만,일반업무,제약,12.4,Y,자가,단독주택,양호,Y,N,할부금융(장/단기),월,16,친지,55000000,20,12,12,변동,44000000,44000000,Y,Y,2,1.4,12.6,6.1
여성,35.3,대학교,결혼,3,1,서비스,5000만원~1억원 미만,IT개발/관리,자영업,0.3,N,전세,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),목,17,단독,43000000,10,24,24,변동,38700000,38700000,N,Y,3,13.0,3.2,6.0
남성,35.4,전문대,독신,1,0,사업,5000만원~1억원 미만,일반업무,자영업,0.4,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),월,15,단독,43000000,30,36,36,변동,30100000,30100000,Y,Y,1,7.3,20.9,2.4
남성,35.4,대학교,결혼,3,1,서비스,5000만원~1억원 미만,요리,유치원,1.5,N,반전세,연립/다세대/빌라,양호,N,N,할부금융(장/단기),목,9,단독,61000000,30,48,48,변동,42700000,42700000,Y,Y,2,11.8,4.1,7.9
남성,35.4,고등학교,결혼,4,2,서비스,1억원 이상,매니저,산업,3.7,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),목,10,단독,20000000,20,36,36,고정,16000000,16000000,Y,Y,3,13.0,8.0,4.2
남성,35.7,대학교,결혼,3,1,서비스,3000만원 미만,회계,일반,4.7,Y,자가,단독주택,양호,N,Y,할부금융(장/단기),금,13,단독,43000000,30,36,36,변동,30100000,30100000,Y,Y,0,5.4,16.2,5.4
남성,35.7,전문대,결혼,3,1,서비스,5000만원~1억원 미만,기타,일반,5.8,N,반전세,아파트,평균,N,Y,할부금융(장/단기),화,15,단독,20000000,20,36,36,고정,16000000,16000000,Y,Y,0,13.4,4.7,5.9
여성,35.8,고등학교,결혼,3,1,서비스,5000만원~1억원 미만,운전,일반,5.0,Y,자가,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),화,13,단독,25000000,20,36,36,변동,20000000,20000000,Y,Y,0,11.3,5.6,2.8
남성,35.9,중학교,결혼,3,1,공무원,3000만원 미만,청소/세탁,기타,3.4,N,월세,아파트,양호,Y,Y,할부금융(장/단기),월,16,단독,15000000,20,12,12,변동,12000000,12000000,N,Y,2,0.0,15.9,3.0
남성,36.6,고등학교,이혼,1,0,서비스,3000만원~5000만원 미만,영업,기타,0.7,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),수,14,단독,30000000,20,36,36,변동,24000000,24000000,Y,Y,0,14.0,13.5,4.8
여성,36.6,고등학교,독신,2,1,서비스,5000만원~1억원 미만,IT개발/관리,자영업,4.8,Y,자가,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),화,12,단독,43000000,10,24,24,변동,38700000,38700000,Y,Y,2,1.2,19.6,0.8
여성,36.6,대학원,독신,1,0,서비스,3000만원~5000만원 미만,노동,일반,9.6,N,전세,아파트,양호,Y,N,할부금융(장/단기),목,9,단독,61000000,10,24,24,변동,54900000,54900000,Y,Y,1,10.5,36.4,6.5
남성,36.7,대학교,독신,1,0,사업,3000만원~5000만원 미만,기타,일반,3.7,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),수,15,단독,20000000,0,12,12,변동,20000000,20000000,Y,Y,0,14.6,2.6,3.3
여성,36.9,대학교,독신,1,0,사업,3000만원~5000만원 미만,노동,일반,1.6,Y,자가,단독주택,양호,Y,N,할부금융(장/단기),화,16,친지,61000000,10,24,24,변동,54900000,54900000,Y,Y,0,0.0,15.3,0.0
여성,36.9,대학교,이혼,2,1,사업,1억원 이상,보안,기타,3.0,N,월세,아파트,양호,N,Y,할부금융(장/단기),금,17,단독,15000000,30,48,48,변동,10500000,10500000,N,Y,0,0.0,20.5,3.5
여성,37.0,고등학교,결혼,3,1,서비스,3000만원 미만,노동,산업,0.7,Y,자가,아파트,양호,N,Y,할부금융(장/단기),목,10,친지,20000000,30,36,36,변동,14000000,14000000,Y,N,3,12.3,8.7,0.0
남성,37.0,고등학교,결혼,3,1,서비스,3000만원~5000만원 미만,노동,자영업,3.8,Y,자가,아파트,양호,N,Y,할부금융(장/단기),금,16,단독,25000000,30,36,36,고정,17500000,17500000,Y,Y,0,11.3,5.8,0.0
남성,37.2,대학교,결혼,2,0,서비스,3000만원~5000만원 미만,IT개발/관리,건설,5.2,N,반전세,아파트,양호,Y,N,할부금융(장/단기),수,10,기타,30000000,20,36,36,변동,24000000,24000000,Y,Y,1,12.5,11.2,7.0
남성,37.9,고등학교,결혼,3,1,사업,5000만원~1억원 미만,IT개발/관리,기타,5.1,Y,자가,아파트,최상,N,Y,할부금융(장/단기),월,11,배우,43000000,10,24,24,변동,38700000,38700000,Y,Y,1,11.3,21.8,3.8
남성,38.1,대학원,독신,1,0,서비스,3000만원~5000만원 미만,회계,일반,1.5,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,17,단독,43000000,20,48,48,변동,34400000,34400000,Y,Y,3,12.8,8.2,1.5
남성,38.2,고등학교,독신,1,0,사업,3000만원~5000만원 미만,개인서비스,서비스,9.6,N,반전세,연립/다세대/빌라,양호,Y,N,오토론,화,14,단독,15000000,0,12,12,변동,15000000,15000000,Y,Y,2,12.5,21.6,4.3
여성,38.2,전문대,독신,1,0,사업,3000만원 미만,IT개발/관리,일반,1.8,Y,자가,아파트,양호,Y,N,할부금융(장/단기),금,9,단독,52000000,0,12,12,변동,52000000,52000000,N,Y,4,11.2,0.5,2.3
남성,38.3,고등학교,결혼,3,1,서비스,3000만원~5000만원 미만,영업,자영업,10.6,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),월,9,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,5,5.7,5.7,1.3
남성,38.4,대학교,독신,1,0,공무원,3000만원~5000만원 미만,기타,기타,0.1,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),월,11,단독,30000000,20,36,36,변동,24000000,24000000,Y,Y,0,7.2,21.8,1.2
남성,38.5,전문대,결혼,3,1,사업,3000만원 미만,일반업무,무역,1.5,N,전세,아파트,양호,N,Y,할부금융(장/단기),화,9,단독,43000000,20,48,48,변동,34400000,34400000,Y,Y,2,10.9,19.4,4.0
남성,38.5,대학교,결혼,3,1,서비스,5000만원~1억원 미만,전문기술,일반,7.3,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,12,단독,61000000,30,48,48,변동,42700000,42700000,Y,Y,2,9.4,0.0,5.1
여성,38.5,대학교,결혼,3,1,사업,5000만원~1억원 미만,IT개발/관리,일반,6.5,N,반전세,아파트,평균,Y,N,할부금융(장/단기),목,15,단독,18000000,10,24,24,변동,16200000,16200000,Y,N,0,0.5,5.7,1.9
여성,38.6,고등학교,독신,1,0,서비스,3000만원~5000만원 미만,노동,자영업,0.9,Y,자가,오피스텔,양호,Y,Y,할부금융(장/단기),목,14,단독,43000000,30,36,36,변동,30100000,30100000,Y,Y,0,7.8,3.8,1.9
남성,38.7,대학교,결혼,3,1,서비스,5000만원~1억원 미만,제약,유치원,4.6,Y,자가,아파트,양호,N,Y,할부금융(장/단기),화,17,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,2,14.9,0.4,1.9
남성,38.9,대학교,결혼,3,1,서비스,3000만원~5000만원 미만,기타,일반,0.7,N,월세,아파트,양호,N,Y,할부금융(장/단기),화,13,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,0,8.6,19.6,0.0
남성,39.0,전문대,독신,1,0,사업,3000만원~5000만원 미만,영업,일반,6.0,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,18,단독,18000000,10,24,24,변동,16200000,16200000,N,Y,0,0.0,7.8,0.8
남성,39.0,대학교,결혼,4,2,서비스,5000만원~1억원 미만,매니저,운송,5.4,Y,자가,아파트,양호,N,Y,할부금융(장/단기),월,18,단독,55000000,30,48,48,변동,38500000,38500000,Y,Y,4,11.3,10.5,0.0
여성,39.1,전문대,결혼,3,1,사업,5000만원~1억원 미만,IT개발/관리,자영업,1.8,Y,가족공동,아파트,양호,N,N,할부금융(장/단기),월,10,단독,30000000,20,36,36,변동,24000000,24000000,Y,N,2,13.0,7.4,0.0
여성,39.1,대학교,이혼,1,0,사업,3000만원~5000만원 미만,기타,보안,2.9,N,전세,아파트,양호,Y,Y,할부금융(장/단기),화,10,단독,30000000,10,24,24,변동,27000000,27000000,Y,N,2,13.5,5.1,0.3
남성,39.2,대학교,결혼,3,1,서비스,5000만원~1억원 미만,운전,자영업,0.1,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),수,15,배우,30000000,30,48,48,변동,21000000,21000000,Y,Y,0,11.4,6.6,2.0
남성,39.3,전문대,독신,2,1,서비스,5000만원~1억원 미만,영업,자영업,0.9,N,전세,연립/다세대/빌라,양호,N,Y,할부금융(장/단기),월,11,단독,43000000,30,36,36,변동,30100000,30100000,Y,Y,0,0.0,4.0,2.6
남성,39.4,대학교,독신,1,0,사업,3000만원~5000만원 미만,일반업무,기타,1.8,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,14,단독,30000000,10,24,24,변동,27000000,27000000,Y,Y,3,14.1,6.9,0.0
남성,39.5,대학원,독신,1,0,사업,3000만원~5000만원 미만,회계,교육,6.6,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),수,9,단독,15000000,20,12,12,변동,12000000,12000000,Y,N,0,13.7,17.5,8.5
남성,39.6,대학원,독신,1,0,사업,3000만원~5000만원 미만,영업,자영업,1.0,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),월,16,단독,25000000,10,24,24,고정,22500000,22500000,Y,Y,5,14.6,13.1,4.2
남성,39.8,대학교,독신,3,2,서비스,3000만원~5000만원 미만,기타,일반,7.4,Y,자가,아파트,평균,N,Y,오토론,수,15,단독,25000000,10,24,24,고정,22500000,22500000,Y,Y,0,10.5,0.8,1.3
남성,39.8,전문대,결혼,3,1,서비스,3000만원~5000만원 미만,노동,기타,12.5,Y,자가,아파트,양호,N,Y,오토론,금,12,배우,18000000,10,24,24,변동,16200000,16200000,Y,Y,3,12.7,23.6,2.9
남성,39.9,대학교,결혼,3,1,서비스,3000만원~5000만원 미만,청소/세탁,자영업,9.7,Y,자가,아파트,양호,Y,N,할부금융(장/단기),금,13,단독,43000000,10,24,24,변동,38700000,38700000,Y,Y,5,12.6,0.0,2.5
남성,40.0,대학교,결혼,3,1,사업,5000만원~1억원 미만,일반업무,서비스,2.8,Y,자가,연립/다세대/빌라,최상,Y,Y,할부금융(장/단기),화,12,단독,61000000,10,24,24,고정,54900000,54900000,Y,Y,2,11.7,1.8,3.2
남성,40.2,대학교,결혼,3,1,공무원,5000만원~1억원 미만,노동,일반,16.9,N,전세,아파트,양호,Y,Y,오토론,화,12,단독,30000000,30,48,48,혼합,21000000,21000000,Y,Y,4,12.8,22.9,0.0
남성,40.4,고등학교,결혼,2,0,서비스,3000만원~5000만원 미만,노동,일반,7.1,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),화,14,단독,25000000,10,24,24,변동,22500000,22500000,N,Y,0,1.1,2.6,0.0
여성,40.4,대학교,결혼,3,1,서비스,5000만원~1억원 미만,운전,운송,1.2,N,전세,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),월,11,단독,25000000,20,48,48,변동,20000000,20000000,Y,Y,1,10.3,20.4,1.6
여성,40.5,고등학교,결혼,3,1,공무원,3000만원~5000만원 미만,일반업무,서비스,8.2,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),월,11,단독,43000000,20,48,48,변동,34400000,34400000,Y,Y,1,13.7,0.0,3.4
남성,40.5,전문대,결혼,2,0,사업,3000만원~5000만원 미만,기타,기타,2.6,Y,자가,아파트,최상,Y,N,할부금융(장/단기),수,14,배우,43000000,10,24,24,변동,38700000,38700000,Y,N,1,11.0,24.5,4.6
남성,40.8,대학교,결혼,3,1,서비스,5000만원~1억원 미만,일반업무,유치원,16.4,Y,자가,아파트,양호,Y,Y,할부금융(장/단기),목,13,단독,43000000,10,24,24,고정,38700000,38700000,Y,Y,0,12.9,12.9,0.0
여성,40.8,대학교,결혼,4,2,서비스,5000만원~1억원 미만,IT개발/관리,일반,2.2,N,월세,단독주택,양호,N,Y,오토론,수,12,단독,43000000,30,48,48,변동,30100000,30100000,Y,Y,2,11.2,6.3,3.7
남성,40.9,전문대,결혼,2,0,공무원,3000만원~5000만원 미만,요리,교육,8.4,Y,자가,연립/다세대/빌라,양호,Y,Y,할부금융(장/단기),화,10,기타,61000000,10,24,24,고정,54900000,54900000,Y,N,3,0.0,14.0,0.3
여성,41.1,고등학교,결혼,3,1,서비스,5000만원~1억원 미만,기타,산업,1.3,Y,자가,오피스텔,양호,Y,Y,할부금융(장/단기),월,16,친지,15000000,20,36,36,변동,12000000,12000000,Y,N,3,11.3,11.2,4.6
